# ra            dec          z          
  241.14888     25.7206841   0.0391735  
  224.4435577   59.3425102   0.0391899  
  220.5044098   44.6490211   0.0392936  
  156.3800812   7.4629426    0.0393052  
  158.2544556   37.1314316   0.0393183  
  33.8790665    -9.2176409   0.0393709  
  148.5628815   18.2880726   0.0393887  
  231.4692078   54.3717041   0.0394331  
  140.3148499   10.2947397   0.039478   
  125.2811737   46.8488312   0.0394973  
  189.1343536   6.1696057    0.0395084  
  173.9879913   28.1967564   0.0395106  
  197.6750793   42.2846413   0.0395771  
  121.0797043   33.02668     0.0395781  
  148.3792572   34.4070168   0.0395798  
  165.3192444   3.5629175    0.0395882  
  123.9377441   31.5619488   0.0396372  
  122.5121613   20.0292168   0.0396945  
  235.794281    1.32884      0.0397626  
  203.5703735   9.7537832    0.0397738  
  250.0610352   23.0217571   0.0397851  
  151.4104919   14.8740606   0.0398098  
  172.9943085   -0.0503236   0.0398448  
  35.519516     -7.5622263   0.0399798  
  215.6179199   13.4302359   0.0400485  
  191.9718018   4.8283525    0.0400539  
  177.4856873   66.5180359   0.0401528  
  135.8075409   41.8344803   0.0401662  
  226.167572    0.6045128    0.0401734  
  219.9271393   41.1804924   0.0401786  
  123.9602585   47.8110695   0.0402151  
  151.0711975   6.1396546    0.0402209  
  158.1173859   27.1706181   0.0402513  
  5.1360593     15.347352    0.0403118  
  180.4321442   7.5603385    0.0403314  
  134.1999054   22.7110157   0.0403873  
  204.6018066   1.4797667    0.0404087  
  122.5274048   38.0170975   0.0404168  
  120.7115021   35.7735481   0.0405107  
  225.6803131   43.2746201   0.0405927  
  126.6075668   39.610096    0.0406609  
  220.1833191   56.8953247   0.0406717  
  206.1001587   58.7609673   0.0406923  
  155.7673645   15.4759455   0.0407626  
  210.8628998   45.2353477   0.0408317  
  185.6922913   36.4103355   0.040838   
  117.0433884   41.889492    0.040849   
  164.9650574   32.0680618   0.0408862  
  148.5483093   7.1274023    0.0409084  
  131.9848938   40.8318672   0.0409372  
  255.5048828   24.2418404   0.0409493  
  180.4457397   58.1199112   0.0409692  
  214.2365875   45.64328     0.0410063  
  181.0864868   56.3466949   0.0410159  
  118.3215942   17.4833431   0.0410621  
  209.8341522   14.9681902   0.0411284  
  120.3313904   29.1793766   0.0411394  
  123.0031052   39.0125351   0.0412028  
  168.4813995   9.6428061    0.0412199  
  173.0154419   8.4250326    0.0412624  
  229.9549408   5.7967577    0.0412667  
  243.5041199   10.4584055   0.0413224  
  173.7983856   -2.2931433   0.0413642  
  203.9864807   26.7110825   0.0413648  
  237.6203308   55.0181084   0.0414787  
  234.7613983   5.8408484    0.0415387  
  39.5457382    0.1778293    0.0416605  
  162.2037659   66.6102066   0.0416668  
  155.9345093   37.6411438   0.0416922  
  238.6109772   56.0379486   0.0418167  
  125.649704    37.101368    0.0418384  
  237.6697235   7.9580026    0.0418676  
  173.9161835   10.1674252   0.0419429  
  349.2416992   -10.4994774  0.0420266  
  232.2035522   4.2789888    0.0420434  
  169.5412903   7.7816572    0.0420727  
  115.0219116   43.9006462   0.0421051  
  179.3179169   14.0587902   0.0421398  
  207.6408691   2.2322044    0.0421891  
  218.802475    13.7475128   0.0421964  
  134.2829895   38.1361504   0.0422082  
  184.4076996   51.8192635   0.0422487  
  142.3574677   30.9947205   0.0422703  
  131.7593689   55.6557846   0.0422752  
  244.171524    26.1175747   0.042396   
  217.1964111   33.387722    0.0424442  
  161.4132996   20.7462254   0.0424925  
  115.8298874   45.170166    0.0425215  
  174.6931152   10.883708    0.04255    
  124.3505402   51.7321434   0.0425536  
  229.744812    3.0072896    0.0426316  
  180.7378082   20.6599236   0.0427104  
  124.645607    50.6455307   0.0427657  
  130.7117615   24.0925922   0.0427776  
  174.8671722   -2.6946993   0.0427793  
  134.6376648   37.0865097   0.0428756  
  198.3083954   61.0484657   0.0428877  
  125.9544296   55.3636703   0.0429368  
  159.8548279   39.0825882   0.0429542  
  148.8357697   14.4267511   0.0429774  
  27.7829361    -9.7920341   0.0430332  
  243.0395966   50.5527611   0.0430829  
  122.1984711   56.9569511   0.0431508  
  162.8876953   36.083622    0.0431713  
  124.6962738   40.8301849   0.043254   
  127.283638    50.1128769   0.0433506  
  231.5953522   17.4052486   0.0433686  
  254.9398041   24.7456627   0.0434012  
  127.0857468   55.6668167   0.0434101  
  245.1676178   25.4628487   0.0434119  
  196.313446    5.2157307    0.0434457  
  154.9556427   -1.0226458   0.0434646  
  136.2305603   33.9561691   0.0434902  
  129.6905365   25.2364655   0.0436037  
  180.4101868   14.48388     0.043674   
  222.175705    44.4292145   0.043727   
  184.4319458   62.6326027   0.0437685  
  123.9682693   20.5024662   0.0437686  
  157.7726898   20.3112335   0.0438286  
  234.7788086   9.2961454    0.0438573  
  234.46521     3.4536998    0.0438793  
  129.1001282   56.5974503   0.0439297  
  222.5600128   6.5080929    0.0439645  
  215.0800018   8.9275055    0.0439746  
  203.0872192   29.0762348   0.044027   
  150.4695282   3.0113232    0.0440904  
  199.4446411   41.3406029   0.0441385  
  154.4788513   9.1359205    0.0441911  
  222.5430603   1.3834827    0.0442121  
  233.3708344   10.2419558   0.0442332  
  169.9396057   57.8458252   0.0442636  
  119.6524658   11.9321098   0.0442669  
  194.2319336   32.4475937   0.0443147  
  129.8682556   52.2510605   0.0443304  
  124.5435486   15.5417547   0.0443376  
  23.6890793    -0.9948818   0.0443464  
