# ra            dec          z          
  212.6198578   59.259697    0.042572   
  212.5542908   59.2565193   0.0428254  
  211.2534485   60.3920784   0.0359602  
  211.3257751   60.4317131   0.0358832  
  168.3053436   55.5558052   0.0492765  
  168.2303009   55.4913101   0.0497592  
  118.5518723   36.6565781   0.0281587  
  118.5150375   36.6634293   0.028023   
  137.0241394   49.9108353   0.0517833  
  137.0200195   49.8775024   0.0518643  
  174.3687592   4.1891623    0.0752909  
  174.335556    4.2008862    0.074936   
  6.1298776     -0.9228736   0.0334289  
  6.2013388     -0.943885    0.0333108  
  4.2288313     -0.0882213   0.0328875  
  4.2809649     -0.1417227   0.0330997  
  8.7856255     -0.1336851   0.0302225  
  8.921339      -0.2038139   0.0301846  
  198.5343933   62.2094269   0.0368755  
  198.6425934   62.131649    0.0366449  
  198.6902618   62.065979    0.0457207  
  198.6705475   62.0377083   0.0456314  
  198.3084412   61.0483665   0.0428877  
  198.3020477   60.981636    0.0430004  
  194.2909393   62.3250847   0.0370249  
  194.1495056   62.3525505   0.036837   
  205.849411    60.9427299   0.0736547  
  205.9272919   60.9466438   0.0732817  
  206.1001434   58.7609138   0.0406923  
  206.1257019   58.8571434   0.0406617  
  200.775528    5.8428812    0.0554823  
  200.8119202   5.8160543    0.0553113  
  4.6778588     15.1951742   0.0371568  
  4.7512832     15.1197214   0.0368418  
  138.3057556   3.2304997    0.0126475  
  138.1787567   3.6611571    0.0125766  
  146.662262    4.3137684    0.0664414  
  146.5838928   4.2922072    0.066479   
  223.7492676   62.2759438   0.0217091  
  223.9113922   62.3175011   0.0215337  
  234.7037964   49.5683327   0.0376055  
  234.7360992   49.6247711   0.037759   
  116.835701    29.4129295   0.0625398  
  116.8938675   29.3990631   0.0621813  
  189.1205597   52.3929443   0.0462611  
  189.1621399   52.3946915   0.0464306  
  120.331398    29.1793804   0.0411394  
  120.2649155   29.307579    0.0414121  
  123.9377365   31.5619488   0.0396372  
  123.9000549   31.44627     0.0396036  
  164.1101685   60.692131    0.0295234  
  163.9856873   60.6546822   0.0298165  
  174.9170532   62.6009941   0.0327673  
  174.8399811   62.5754814   0.0329558  
  172.4701538   4.1351771    0.0676851  
  172.5004425   4.1388278    0.0680484  
  168.471817    4.8017335    0.0206212  
  168.5751343   4.7098107    0.0206414  
  181.5612946   61.9072571   0.032802   
  181.3926544   61.9226494   0.0330057  
  182.41539     62.8550453   0.0443635  
  182.3726654   62.8779602   0.0440772  
  184.4319763   62.6325264   0.0437685  
  184.5079041   62.6512299   0.0441286  
  195.7746429   3.9918885    0.0095474  
  195.704834    3.9767501    0.0095548  
  197.5832672   4.30023      0.066672   
  197.6212463   4.3714528    0.0667526  
  194.58815     4.8856525    0.0361743  
  194.5478516   4.9080744    0.0357515  
  196.3135681   4.8761826    0.0441239  
  196.312561    4.8742647    0.0440913  
  196.313446    5.2157311    0.0434457  
  196.3984985   5.1967759    0.0438001  
  190.2608337   5.695848     0.0487422  
  190.2123108   5.608439     0.048615   
  189.1343536   6.1696072    0.0395084  
  189.2540894   6.1095467    0.0395608  
  8.7415628     -9.3422003   0.0231575  
  8.7621155     -9.3684292   0.0229932  
  9.9515877     -9.1429434   0.0374752  
  9.8175058     -9.0727186   0.0372771  
  14.4433632    -9.2189264   0.0256959  
